Match ID,Date,Venue,Team1,Team2,Toss Winner,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
1,18-Apr-08,"M. Chinnaswamy Stadium, Bangalore",Kolkata Knight Riders,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,222.0,3.0,82.0,10.0,Kolkata Knight Riders,Runs,140.0,Brendon McCullum
2,19-Apr-08,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,Bat,Group,240.0,5.0,207.0,4.0,Chennai Super Kings,Runs,33.0,Michael Hussey
3,19-Apr-08,"Feroz Shah Kotla, Delhi",Rajasthan Royals,Delhi Daredevils,Rajasthan Royals,Bat,Group,129.0,8.0,132.0,1.0,Delhi Daredevils,Wickets,9.0,Farveez Maharoof
4,20-Apr-08,"Eden Gardens, Kolkata",Deccan Chargers,Kolkata Knight Riders,Deccan Chargers,Bat,Group,110.0,10.0,112.0,5.0,Kolkata Knight Riders,Wickets,5.0,David Hussey
5,20-Apr-08,"Wankhede Stadium, Mumbai",Mumbai Indians,Royal Challengers Bangalore,Mumbai Indians,Bat,Group,165.0,6.0,166.0,5.0,Royal Challengers Bangalore,Wickets,5.0,Mark Boucher
6,21-Apr-08,"Sawai Mansingh Stadium, Jaipur",Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,Bat,Group,166.0,8.0,168.0,4.0,Rajasthan Royals,Wickets,6.0,Shane Watson
7,22-Apr-08,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Deccan Chargers,Delhi Daredevils,Deccan Chargers,Bat,Group,142.0,8.0,143.0,1.0,Delhi Daredevils,Wickets,9.0,Virender Sehwag
8,23-Apr-08,"M. A Chidambaram Stadium, Chennai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,Field,Group,208.0,5.0,202.0,7.0,Chennai Super Kings,Runs,6.0,Matthew Hayden
9,24-Apr-08,"Rajiv Gandhi International Cricket Stadium, Hyderabad",Deccan Chargers,Rajasthan Royals,Rajasthan Royals,Field,Group,214.0,5.0,217.0,7.0,Rajasthan Royals,Wickets,3.0,Yusuf Pathan
10,25-Apr-08,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians,Mumbai Indians,Field,Group,182.0,10.0,116.0,9.0,Kings XI Punjab,Runs,66.0,Kumar Sangakkara
