Match ID,Date,Venue,Team1,Team2,Toss Winner,Toss Decision,Stage,First Innings Score,First Innings Wicket,Second Innings score,Second Innings Wicket,Match Winner,Won by,Margin,Player of the match
56,21-May-09,"SuperSport Park, Centurion",Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,Bat,Group,170.0,4.0,158.0,6.0,Royal Challengers Bangalore,Runs,12.0,Manish Pandey
57,22-May-09,"SuperSport Park, Centurion",Delhi Daredevils,Deccan Chargers,Deccan Chargers,Field,Playoff,153.0,8.0,154.0,4.0,Deccan Chargers,Wickets,6.0,Adam Gilchrist
58,23-May-09,"New Wanderers Stadium, Johannesburg",Chennai Super Kings,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Playoff,146.0,6.0,149.0,4.0,Royal Challengers Bangalore,Wickets,6.0,Manish Pandey
59,24-May-09,"New Wanderers Stadium, Johannesburg",Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Final,143.0,6.0,137.0,9.0,Deccan Chargers,Runs,6.0,Anil Kumble
1,12-Mar-10,"DY Patil Stadium, Mumbai",Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,Field,Group,161.0,4.0,150.0,7.0,Kolkata Knight Riders,Runs,11.0,Angelo Mathews
2,13-Mar-10,"Brabourne Stadium, Mumbai",Mumbai Indians,Rajasthan Royals,Mumbai Indians,Bat,Group,212.0,6.0,208.0,7.0,Mumbai Indians,Runs,4.0,Yusuf Pathan
3,13-Mar-10,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,Field,Group,142.0,9.0,146.0,5.0,Delhi Daredevils,Wickets,5.0,Gautam Gambhir
4,14-Mar-10,"Eden Gardens, Kolkata",Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,Field,Group,135.0,7.0,136.0,3.0,Kolkata Knight Riders,Wickets,7.0,Manoj Tiwary
5,14-Mar-10,"M. A. Chidambaram Stadium, Chennai",Deccan Chargers,Chennai Super Kings,Deccan Chargers,Bat,Group,190.0,4.0,159.0,9.0,Deccan Chargers,Runs,31.0,Chaminda Vaas
6,15-Mar-10,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,Field,Group,141.0,6.0,142.0,4.0,Delhi Daredevils,Wickets,6.0,Virender Sehwag
7,16-Mar-10,"M. Chinnaswamy Stadium, Bangalore",Kings XI Punjab,Royal Challengers Bangalore,Kings XI Punjab,Bat,Group,203.0,3.0,204.0,2.0,Royal Challengers Bangalore,Wickets,8.0,Jacques Kallis
8,16-Mar-10,"Eden Gardens, Kolkata",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,Bat,Group,164.0,3.0,109.0,10.0,Chennai Super Kings,Runs,55.0,Mahendra Singh Dhoni
9,17-Mar-10,"Feroz Shah Kotla, Delhi",Mumbai Indians,Delhi Daredevils,Delhi Daredevils,Field,Group,218.0,7.0,120.0,10.0,Mumbai Indians,Runs,98.0,Sachin Tendulkar
10,18-Mar-10,"M. Chinnaswamy Stadium, Bangalore",Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,Field,Group,92.0,10.0,93.0,0.0,Royal Challengers Bangalore,Wickets,10.0,Jacques Kallis
11,19-Mar-10,"Feroz Shah Kotla, Delhi",Delhi Daredevils,Chennai Super Kings,Delhi Daredevils,Bat,Group,185.0,6.0,190.0,5.0,Chennai Super Kings,Wickets,5.0,Mathew Hayden
12,19-Mar-10,"Barabati Stadium, Cuttack",Deccan Chargers,Kings XI Punjab,Kings XI Punjab,Field,Group,170.0,7.0,164.0,8.0,Deccan Chargers,Runs,6.0,Andrew Symonds
13,20-Mar-10,"Sardar Patel Stadium, Ahmedabad",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,Bat,Group,168.0,7.0,134.0,5.0,Rajasthan Royals,Runs,34.0,Abhishek Jhunjhunwala
